listKind,section,application,cataloguePartNumber,referenceNo,size,pcsPerSet,mrp,priceToDistributors,sellingPrice,stock,firm,validationStatus,reviewReasons,sourcePdf,sourceRow
"LCV","LCV","TATA 1009 / EICHER MCV 11.10","MB/NA/T1009/2MM","MB/NA/T1009","2 MM","4","2205","992","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","12"
"LCV","LCV","TATA 909 EX / SWARAJ SAMRAT / EICHER 10.95","MB/NA/T 909/STD","MB/NA/T 909","STD","4","1510","680","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR LCV.pdf","13"
"LCV","LCV","TATA 909 EX / SWARAJ SAMRAT / EICHER 10.95","MB/NA/T 909/1MM","MB/NA/T 909","1 MM","4","1615","727","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","14"
"LCV","LCV","TATA 909 EX / SWARAJ SAMRAT / EICHER 10.95","MB/NA/T 909/2MM","MB/NA/T 909","2 MM","4","1720","774","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","15"
"LCV","LCV","TATA 709 /SWARAJ SAMRAT /EICHER 10.90","MB/NA/T709/STD","MB/NA/T709","STD","4","1524","686","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR LCV.pdf","16"
"LCV","LCV","TATA 709 /SWARAJ SAMRAT /EICHER 10.90","MB/NA/T709/1MM","MB/NA/T709","1 MM","4","1629","733","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","17"
"LCV","LCV","TATA 709 /SWARAJ SAMRAT /EICHER 10.90","MB/NA/T709/2MM","MB/NA/T709","2 MM","4","1734","780","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","18"
"LCV","LCV","TATA 407 /709 BS6","MB/NA/BP-407 New/STD","MB/NA/BP-407 New","STD","4","1734","780","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR LCV.pdf","19"
"LCV","LCV","TATA 407 /709 BS6","MB/NA/BP-407 New/1MM","MB/NA/BP-407 New","1 MM","4","1839","828","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","20"
"LCV","LCV","TATA 407 /709 BS6","MB/NA/BP-407 New/2MM","MB/NA/BP-407 New","2 MM","4","1944","875","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","21"
"LCV","LCV","BP/909-BB9","MB/NA/BP-BB/9 (S)/STD","MB/NA/BP-BB/9 (S)","STD","4","1995","898","","0","","REVIEW","no_authoritative_firm_mapping","C:/Users/acer/Downloads/REGULAR LCV.pdf","22"
"LCV","LCV","BP/909-BB9","MB/NA/BP-BB/9 (S)/1MM","MB/NA/BP-BB/9 (S)","1 MM","4","2154","969","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","23"
"LCV","LCV","BP/909-BB9","MB/NA/BP-BB/9 (S)/2MM","MB/NA/BP-BB/9 (S)","2 MM","4","2310","1040","","0","","REVIEW","no_authoritative_firm_mapping|application_forward_filled","C:/Users/acer/Downloads/REGULAR LCV.pdf","24"
